token,address,decimals
DXD,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,18
SWPR,0x6cAcDB97e3fC8136805a9E7c342d866ab77D0957,18
RAI,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,18
USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,18
stETH,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,18
sUSD,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,18
USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
LUSD,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,18
sETH2,0xFe2e637202056d30016725477c5da089Ab0A043A,18
ENS,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,18
rETH,0xae78736Cd615f374D3085123A210448E74Fc6393,18
rETH2,0x20BC832ca081b91433ff6c17f85701B6e92486c5,18
DXD,0xb90D6bec20993Be5d72A5ab353343f7a0281f158,18
WETH,0x6A023CCd1ff6F2045C3309768eAd9E68F978f6e1,18
SWPR,0x532801ED6f82FFfD2DAB70A19fC2d7B2772C4f4b,18
USDC,0xDDAfbb505ad214D7b80b1f830fcCc89B60fb7A83,6
WBTC,0x8e5bBbb09Ed1ebdE8674Cda39A0c169401db4252,8
DPI,0xD3D47d5578e55C880505dC40648F7F9307C3e7A8,18
GEN,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,18
WXDAI,0xe91D153E0b41518A2Ce8Dd3D7944Fa863463a97d,18
